TransactionID,itemDescription
1041_2014-06-13,"candy,chicken,frozen vegetables"
1041_2014-06-29,"brown bread,tropical fruit,whole milk"
1041_2014-07-07,"dessert,prosecco"
1041_2015-04-02,"hamburger meat,yogurt"
1042_2015-02-12,"beef,dessert"
1042_2015-05-22,"bottled water,citrus fruit"
1042_2015-10-16,"other vegetables,whole milk"
1043_2014-03-14,"sliced cheese,tropical fruit"
1043_2014-06-16,"chocolate marshmallow,napkins,whole milk"
1043_2015-01-10,"citrus fruit,rolls/buns,whole milk"
1044_2015-02-09,"other vegetables,tropical fruit"
1044_2015-10-25,"curd,root vegetables"
1045_2014-01-12,"butter,root vegetables,yogurt"
1045_2014-04-10,"Instant food products,fruit/vegetable juice,specialty chocolate"
1045_2015-11-25,"chicken,onions"
1046_2015-06-18,"pastry,whole milk"
1046_2015-06-24,"bottled water,pork"
1047_2014-12-17,"pip fruit,soda"
1047_2015-01-04,"curd,soda"
1047_2015-08-09,"butter,sweet spreads"
1048_2015-10-06,"condensed milk,rolls/buns,soda,whole milk"
1048_2015-10-18,"rolls/buns,tropical fruit"
1049_2014-01-07,"margarine,specialty bar"
1049_2015-07-01,"butter,whole milk"
1049_2015-08-04,"candy,white bread"
1049_2015-09-05,"frankfurter,herbs"
1050_2014-02-15,"beverages,waffles"
1050_2014-03-06,"house keeping products,yogurt"
1050_2014-05-30,"cat food,pasta,yogurt"
1050_2014-10-10,"hygiene articles,whipped/sour cream"
1050_2014-10-12,"UHT-milk,dishes,other vegetables"
1050_2015-05-04,"meat,whole milk"
1051_2014-01-13,"bottled beer,hamburger meat"
1051_2014-09-17,"coffee,frozen vegetables,pork"
1051_2014-12-26,shopping bags
1051_2015-08-12,"dishes,other vegetables,rolls/buns,soda"
1051_2015-10-12,"female sanitary products,hamburger meat,other vegetables,popcorn,tropical fruit"
1051_2015-11-10,"cream cheese ,fish,red/blush wine,tropical fruit"
1052_2014-01-04,"beef,shopping bags"
1052_2014-01-15,"grapes,root vegetables"
1052_2014-03-24,"beverages,chicken,coffee"
1052_2014-09-29,"butter,dog food"
1052_2014-10-13,"soda,whole milk"
1052_2014-11-20,"bottled water,chewing gum"
1052_2014-12-05,"hamburger meat,soda"
1052_2015-05-15,"frankfurter,whipped/sour cream"
1052_2015-07-06,"butter milk,margarine,yogurt"
1052_2015-10-27,"detergent,other vegetables,pork,shopping bags,soft cheese,yogurt"
1053_2014-04-30,soda
1053_2014-05-16,"rolls/buns,waffles"
1053_2014-05-23,"sugar,whole milk"
1053_2014-11-05,"chicken,frozen vegetables"
1053_2014-12-10,"other vegetables,whole milk"
1053_2015-07-09,"hamburger meat,pastry"
1054_2014-01-16,"fruit/vegetable juice,soda"
1054_2015-09-02,"bottled beer,oil"
1054_2015-10-04,"citrus fruit,frankfurter,margarine"
1054_2015-10-21,"other vegetables,photo/film"
1055_2014-08-05,"pork,white wine"
1055_2015-05-25,"bottled water,newspapers,soda,yogurt"
1056_2014-09-24,"ham,whole milk"
1056_2015-09-13,"other vegetables,pip fruit"
1056_2015-11-09,"meat spreads,whipped/sour cream"
1057_2014-01-06,"domestic eggs,sliced cheese,soda"
1057_2014-03-05,"pickled vegetables,salty snack"
1057_2014-06-08,"UHT-milk,tropical fruit"
1058_2014-05-24,"chicken,other vegetables"
1058_2014-08-07,"root vegetables,yogurt"
1058_2015-04-06,"bottled water,sausage"
1058_2015-11-10,"other vegetables,root vegetables"
1059_2014-06-11,"dessert,spread cheese"
1059_2014-06-14,"cling film/bags,salty snack,sausage"
1061_2014-03-17,"bottled beer,fruit/vegetable juice,soda"
1061_2014-05-19,"beef,chocolate"
1061_2014-07-31,"hard cheese,whipped/sour cream"
1061_2014-10-23,"beverages,dessert"
1061_2015-09-05,"Instant food products,margarine,root vegetables,tropical fruit,whole milk"
1062_2014-01-26,"sauces,whole milk"
1062_2014-05-08,"frozen fruits,white bread"
1062_2014-11-07,"ham,ketchup,whipped/sour cream"
1062_2015-04-16,"long life bakery product,other vegetables,tropical fruit,whole milk"
1062_2015-09-18,"butter,other vegetables,shopping bags,whole milk,yogurt"
1063_2014-06-07,"citrus fruit,whole milk"
1063_2015-01-23,"candy,rolls/buns"
1064_2014-04-21,"cream cheese ,rolls/buns"
1064_2014-09-03,"root vegetables,whole milk"
1064_2015-07-25,"long life bakery product,other vegetables,root vegetables"
1065_2014-01-14,"long life bakery product,rum,tropical fruit,whole milk"
1065_2014-01-23,"hamburger meat,soda"
1065_2014-11-05,"rolls/buns,tropical fruit"
1065_2014-12-25,"frozen fish,red/blush wine"
1065_2015-10-27,"beef,dessert"
1065_2015-11-13,"frankfurter,tropical fruit"
1066_2014-02-01,"bottled beer,root vegetables"
1066_2014-05-15,"other vegetables,whole milk"
1066_2014-06-12,"oil,shopping bags"
1067_2015-03-05,"tropical fruit,whole milk"
1067_2015-04-08,"hamburger meat,pork"
1067_2015-07-20,"chocolate,coffee,rolls/buns,tropical fruit"
1068_2014-03-08,"soda,yogurt"
1068_2015-07-01,"pork,spread cheese"
1069_2014-01-20,"pork,rolls/buns"
1069_2014-05-20,"brown bread,fruit/vegetable juice"
1069_2014-12-18,"domestic eggs,salt"
1069_2015-08-20,"bottled beer,dishes,sliced cheese,tropical fruit"
1070_2014-04-10,"citrus fruit,red/blush wine"
1070_2014-11-05,"cream cheese ,newspapers"
1071_2014-09-26,"fruit/vegetable juice,roll products ,yogurt"
1072_2014-06-23,"ham,other vegetables"
1072_2015-10-23,"canned beer,frankfurter"
1073_2014-03-21,"brown bread,salt"
1073_2014-06-05,"bottled water,domestic eggs,yogurt"
1073_2015-06-08,"curd,pip fruit,prosecco"
1073_2015-12-03,"brown bread,dishes,finished products"
1074_2014-01-29,"candy,detergent"
1074_2014-02-04,"ketchup,semi-finished bread"
1074_2014-05-08,"oil,shopping bags"
1074_2015-06-24,"instant coffee,misc. beverages"
1074_2015-10-16,"flower (seeds),fruit/vegetable juice"
1075_2014-06-19,"UHT-milk,canned fish"
1075_2015-01-29,"pip fruit,rolls/buns"
1075_2015-07-20,"dishes,frankfurter,frozen meals"
1075_2015-11-19,"bottled water,citrus fruit,frankfurter,fruit/vegetable juice"
1076_2014-12-24,"brown bread,sausage"
1076_2015-05-14,"bottled water,butter,chicken,frankfurter"
1076_2015-06-12,"bottled water,butter,sausage"
1076_2015-10-14,"coffee,ham,whole milk"
1077_2014-07-17,"pasta,pastry"
1077_2014-08-30,"artif. sweetener,canned beer,rolls/buns,soda"
1077_2014-09-29,"brown bread,white bread"
1077_2014-10-07,"butter,other vegetables"
1077_2014-12-30,"rolls/buns,root vegetables"
1077_2015-09-12,"soda,tropical fruit"
1078_2014-08-28,"chicken,soda"
1078_2015-10-28,"coffee,curd,frankfurter,rolls/buns,white bread"
1079_2014-10-07,"bottled water,red/blush wine,sweet spreads"
1079_2015-09-09,"napkins,onions,rolls/buns"
1080_2014-11-02,"canned beer,soda"
1080_2015-05-14,"frozen vegetables,pet care,root vegetables"
1081_2014-02-11,"beverages,yogurt"
1081_2015-01-21,"tropical fruit,whole milk"
1081_2015-03-06,"frankfurter,newspapers,other vegetables,pastry,whole milk"
1081_2015-04-25,"butter milk,coffee"
1081_2015-05-03,"baking powder,bottled beer,specialty bar,tropical fruit,yogurt"
1082_2014-03-20,"bottled water,hygiene articles"
1082_2014-05-13,"beef,margarine,other vegetables"
1083_2014-07-15,"bathroom cleaner,soda,specialty chocolate"
1083_2014-11-15,"hamburger meat,whole milk"
1083_2015-02-06,"pork,sliced cheese"
1084_2014-04-18,"other vegetables,pip fruit"
1085_2014-04-24,"other vegetables,shopping bags,soda"
1085_2014-05-25,"newspapers,yogurt"
1085_2015-08-15,"citrus fruit,root vegetables"
1086_2014-07-27,"rolls/buns,soda"
1086_2014-09-26,"canned beer,herbs,margarine"
1086_2014-12-10,"ice cream,whipped/sour cream"
1086_2015-11-17,"beef,butter,curd,other vegetables,soda"
1086_2015-12-28,"citrus fruit,rolls/buns"
1087_2014-02-26,"beverages,sausage"
1087_2014-04-20,whole milk
1087_2014-06-19,"specialty chocolate,white bread"
1087_2014-07-25,"other vegetables,whole milk"
1087_2014-10-13,"ham,white bread"
1087_2014-12-11,"berries,coffee"
1087_2014-12-16,"flower (seeds),jam,soda"
1087_2015-03-19,"chocolate,pip fruit,sausage"
1087_2015-08-14,"cake bar,herbs,pot plants"
1088_2015-01-14,"berries,yogurt"
1088_2015-11-09,"hard cheese,whole milk"
1088_2015-11-30,"baking powder,domestic eggs,meat,other vegetables,tropical fruit"
1089_2014-12-05,"sauces,yogurt"
1090_2015-08-31,"detergent,dishes,napkins,pastry,sausage,specialty chocolate,whisky,yogurt"
1090_2015-10-04,"beef,yogurt"
1090_2015-10-21,"ice cream,whole milk"
1092_2014-12-10,"newspapers,yogurt"
1092_2015-05-16,"frozen vegetables,other vegetables,root vegetables,soda,specialty bar"
1092_2015-07-03,"photo/film,shopping bags"
1092_2015-07-27,"Instant food products,bottled beer,bottled water,domestic eggs,grapes,rolls/buns,salty snack,sausage"
1092_2015-10-09,"bottled beer,frankfurter,other vegetables"
1093_2015-03-28,"dessert,domestic eggs"
1094_2014-03-11,"brown bread,whole milk"
1094_2014-07-24,"pasta,waffles,whole milk"
1094_2014-08-18,"newspapers,salty snack"
1094_2014-08-26,"chocolate marshmallow,other vegetables"
1094_2014-12-11,"detergent,flour,hamburger meat"
1094_2015-01-07,"misc. beverages,root vegetables,sausage,tropical fruit"
1094_2015-05-16,"soda,tropical fruit"
1094_2015-09-08,"sausage,whole milk"
1095_2014-03-25,"shopping bags,yogurt"
1095_2014-08-06,"flour,pickled vegetables"
1095_2015-10-30,"bottled water,domestic eggs,packaged fruit/vegetables,pork"
1096_2015-07-28,"fruit/vegetable juice,pip fruit"
1097_2014-04-16,"cake bar,sausage,whole milk"
1097_2014-05-03,"root vegetables,shopping bags"
1097_2014-10-12,"curd,shopping bags,whipped/sour cream"
1097_2014-11-26,"hard cheese,whole milk"
1097_2015-09-25,"bottled water,frankfurter,whipped/sour cream"
1097_2015-11-01,"curd,soda,tropical fruit,whole milk"
1098_2014-02-25,"citrus fruit,dessert"
1098_2014-07-19,"candy,tropical fruit"
1098_2015-01-19,"cat food,rolls/buns,shopping bags"
1098_2015-05-07,"canned beer,napkins,rolls/buns"
1098_2015-08-05,"canned beer,citrus fruit,frankfurter,hard cheese,specialty chocolate,tropical fruit,whole milk,yogurt"
1098_2015-09-27,"bottled water,cat food,frozen vegetables,root vegetables"
1098_2015-11-12,"grapes,other vegetables"
1099_2014-07-18,"brown bread,pip fruit"
1099_2014-08-29,"instant coffee,root vegetables"
1099_2015-08-13,"pork,spread cheese"
1100_2014-02-20,"hamburger meat,pasta"
1100_2014-12-18,"whole milk,yogurt"
1100_2015-03-12,"butter,butter milk,grapes,hygiene articles,pudding powder,soda"
1101_2014-09-07,"processed cheese,whole milk"
1101_2014-12-25,"brown bread,sparkling wine"
1101_2014-12-28,"other vegetables,rolls/buns,whipped/sour cream"
1102_2014-02-14,"frozen vegetables,root vegetables"
1102_2014-04-13,"candy,white wine"
1102_2014-09-30,"beverages,brown bread,yogurt"
1102_2015-06-27,"detergent,other vegetables,white bread"
1103_2014-05-25,"candles,chicken,pastry"
1103_2014-07-12,"herbs,ice cream"
1103_2014-07-28,"hygiene articles,tea,waffles"
1103_2014-11-22,"cream,yogurt"
1104_2014-05-09,"root vegetables,yogurt"
1104_2015-01-04,"herbs,other vegetables,rolls/buns,yogurt"
1104_2015-03-18,"domestic eggs,yogurt"
1104_2015-10-27,"pork,whole milk"
1105_2014-06-14,"other vegetables,white bread"
1105_2015-05-22,"bottled water,tropical fruit,whole milk,yogurt"
1107_2014-05-15,"beef,newspapers,specialty fat"
1107_2014-06-14,"newspapers,onions"
1107_2014-07-22,"rolls/buns,semi-finished bread"
1107_2014-08-13,"pastry,whole milk"
1107_2014-09-26,"rolls/buns,shopping bags"
1107_2015-01-03,"chicken,liver loaf,rolls/buns,shopping bags,spread cheese"
1107_2015-05-06,"citrus fruit,misc. beverages"
1107_2015-10-01,"citrus fruit,misc. beverages"
1108_2014-05-22,"canned beer,grapes,pastry,whipped/sour cream"
1108_2014-06-25,"frozen potato products,specialty cheese"
1108_2014-08-22,"oil,pastry,salty snack"
1108_2015-07-30,"brown bread,shopping bags,whole milk"
1109_2014-06-19,"chocolate,whole milk"
1109_2014-10-14,"curd,sugar"
1109_2014-10-31,"margarine,pip fruit"
1109_2014-11-22,"pastry,pip fruit,salty snack"
1109_2015-04-06,"citrus fruit,frozen vegetables,margarine"
1110_2014-05-30,"margarine,yogurt"
1110_2014-09-22,"liquor,pickled vegetables"
1110_2014-10-13,"bottled water,chocolate"
1110_2014-12-11,"salty snack,soda"
1110_2015-09-09,"ham,yogurt"
1110_2015-11-15,"baking powder,butter,curd,dishes,margarine,pastry"
1110_2015-11-20,"soda,whole milk"
1111_2014-03-03,"UHT-milk,frozen vegetables,soda,whole milk"
1111_2014-05-07,"other vegetables,whipped/sour cream"
1111_2014-10-24,"bottled water,flour,sugar"
1111_2015-11-20,"beef,semi-finished bread"
1112_2015-04-09,"dish cleaner,ice cream,jam,newspapers"
1113_2014-01-07,"newspapers,whole milk,yogurt"
1113_2014-02-02,"canned beer,curd"
1113_2015-03-29,"domestic eggs,pork,pudding powder"
1113_2015-08-05,"baking powder,bottled beer,specialty bar"
1114_2014-04-25,"brown bread,chocolate,salty snack"
1114_2014-09-04,"root vegetables,shopping bags"
1114_2014-12-14,"citrus fruit,root vegetables"
1114_2015-03-12,"dessert,dog food,sausage,shopping bags"
1114_2015-04-26,"chicken,shopping bags"
1114_2015-07-10,"UHT-milk,misc. beverages,white bread"
1115_2014-07-31,"root vegetables,turkey"
1115_2014-08-03,"butter,other vegetables"
1115_2014-09-15,"whipped/sour cream,yogurt"
1115_2015-01-22,"other vegetables,yogurt"
1116_2014-03-06,"napkins,other vegetables"
1116_2014-06-22,"brown bread,butter milk,canned vegetables,soda"
1116_2014-08-11,"other vegetables,zwieback"
1116_2014-09-27,"brown bread,soda"
1116_2015-01-29,"cream cheese ,hard cheese,liquor,newspapers,other vegetables,root vegetables"
1116_2015-07-23,"bottled water,chicken"
1116_2015-10-08,"beverages,newspapers,rolls/buns,white bread"
1116_2015-11-29,"frankfurter,rolls/buns"
1117_2015-05-24,"meat,whipped/sour cream,whole milk"
1118_2014-03-02,"bottled beer,frozen vegetables,sliced cheese"
1118_2014-11-07,"canned beer,pip fruit,processed cheese"
1118_2014-12-09,"berries,condensed milk"
1118_2015-05-13,"curd,house keeping products,pickled vegetables,rolls/buns"
1118_2015-07-27,"ham,yogurt"
1118_2015-12-25,"butter,hair spray,pastry,whole milk"
1119_2015-02-04,"grapes,whole milk"
1120_2014-08-21,"sugar,tropical fruit"
1120_2015-01-14,"UHT-milk,newspapers,soda,white bread"
1120_2015-06-08,"meat,other vegetables"
1120_2015-06-11,"other vegetables,specialty bar"
1120_2015-07-14,"brown bread,citrus fruit"
1120_2015-09-26,"chocolate marshmallow,condensed milk,pastry,rice,tropical fruit"
1121_2014-03-15,"coffee,shopping bags"
1122_2014-09-25,"chicken,dishes"
1122_2015-06-25,"frozen vegetables,root vegetables"
1122_2015-12-21,"bottled water,citrus fruit"
1123_2014-08-09,"oil,rolls/buns,yogurt"
1123_2014-12-28,"pip fruit,whole milk"
1123_2015-01-31,"cling film/bags,frozen vegetables,rolls/buns"
1123_2015-11-12,"canned vegetables,pork,soda"
1124_2014-03-05,"bottled beer,hygiene articles"
1124_2014-08-23,"soda,yogurt"
1125_2014-05-30,"margarine,rolls/buns,root vegetables"
1125_2014-12-09,"margarine,rolls/buns"
1125_2015-05-12,"condensed milk,shopping bags"
1125_2015-08-27,"pastry,sausage"
1125_2015-11-19,"citrus fruit,popcorn"
1126_2014-11-02,"rolls/buns,whipped/sour cream"
1126_2015-04-29,"long life bakery product,misc. beverages,whole milk"
1126_2015-05-17,"napkins,newspapers,pork,root vegetables"
1127_2014-02-06,"roll products ,soda"
1127_2014-04-05,"citrus fruit,soda"
1127_2015-01-14,"frankfurter,margarine,rolls/buns,shopping bags"
1127_2015-10-15,"UHT-milk,butter,other vegetables,pastry"
1128_2014-03-27,"frozen vegetables,soda,specialty bar"
1128_2014-04-26,"domestic eggs,liquor"
1128_2014-05-10,"frankfurter,white bread"
1128_2015-07-05,"coffee,meat"
1129_2014-01-25,"baking powder,whole milk"
1129_2014-04-18,"flower (seeds),white wine"
1129_2014-09-10,"flower (seeds),frozen meals,grapes"
1129_2014-11-14,"brown bread,shopping bags,tea,yogurt"
1129_2014-12-21,"cream cheese ,specialty chocolate"
1130_2014-08-18,"softener,yogurt"
1130_2014-11-01,"margarine,soda"
1130_2015-01-15,"cream cheese ,tropical fruit"
1130_2015-09-18,"bottled water,dessert,frankfurter,root vegetables"
1132_2014-11-22,"bottled beer,whole milk"
1132_2015-02-19,"other vegetables,rolls/buns,salty snack,semi-finished bread,shopping bags"
1132_2015-09-22,"soda,whole milk"
1133_2014-03-21,"coffee,shopping bags"
1133_2014-08-03,"pastry,yogurt"
1133_2015-02-26,"rice,rolls/buns,sausage"
1133_2015-03-26,"napkins,pork,whole milk"
1133_2015-08-03,"curd,domestic eggs"
1134_2014-02-18,"cream cheese ,newspapers"
1134_2014-05-11,"brown bread,pastry,yogurt"
1134_2014-12-04,"oil,other vegetables"
1135_2015-02-24,"butter,hard cheese"
1135_2015-04-29,"other vegetables,whole milk"
1135_2015-07-10,"butter,dessert,sausage,shopping bags,soda"
1136_2014-05-02,"citrus fruit,flower (seeds)"
1136_2014-05-25,"instant coffee,shopping bags"
1136_2014-06-04,"fruit/vegetable juice,rolls/buns"
1136_2014-07-15,"butter milk,root vegetables"
1136_2014-09-28,"other vegetables,tropical fruit"
1136_2015-01-03,"brown bread,butter milk,tropical fruit"
1136_2015-06-15,"citrus fruit,herbs"
1136_2015-10-29,"beef,other vegetables"
1136_2015-11-03,"tropical fruit,whole milk"
1137_2014-05-16,"canned beer,nut snack"
1137_2015-09-26,"other vegetables,sugar,whole milk"
1138_2014-07-07,"citrus fruit,napkins"
1138_2015-02-24,"butter milk,rolls/buns"
1138_2015-09-02,"root vegetables,whole milk"
1139_2014-01-15,"soft cheese,tropical fruit"
1139_2014-02-02,"brown bread,canned beer,rolls/buns"
1139_2014-10-20,"pickled vegetables,pork"
1139_2015-01-19,"misc. beverages,tropical fruit"
1140_2015-05-01,"curd,frankfurter,other vegetables,photo/film,waffles"
1140_2015-06-26,"cling film/bags,other vegetables,pip fruit"
1141_2014-04-08,"tropical fruit,yogurt"
1141_2014-06-08,"cat food,rolls/buns"
1141_2014-12-02,"rolls/buns,soda,whole milk"
1141_2014-12-15,"berries,white bread"
1142_2014-05-22,"newspapers,soups"
1142_2014-10-13,"napkins,other vegetables"
1142_2014-12-10,"rolls/buns,soda"
1142_2015-06-13,"brown bread,chicken"
1143_2014-07-14,"UHT-milk,soda"
1143_2014-11-14,"pork,soda"
1143_2014-11-18,"oil,pickled vegetables"
1143_2015-01-27,"misc. beverages,spread cheese"
1143_2015-04-25,"soda,sugar,whole milk"
1144_2014-04-08,"coffee,root vegetables"
1144_2014-11-07,"domestic eggs,pork"
1144_2015-01-16,"chicken,domestic eggs,white bread"
1144_2015-01-28,"soda,whipped/sour cream"
1144_2015-04-01,"meat,whole milk"
1144_2015-08-13,"canned beer,fish"
1144_2015-10-15,"hard cheese,root vegetables,white bread"
1145_2014-06-05,"brown bread,other vegetables"
1145_2014-09-13,"bottled beer,soda"
1145_2015-10-07,"root vegetables,tropical fruit"
1146_2014-01-30,"curd,soft cheese"
1146_2014-02-21,"cereals,frozen vegetables,pip fruit,root vegetables"
1146_2014-03-28,"berries,candy,other vegetables,sliced cheese"
1146_2014-05-23,"soda,yogurt"
1146_2014-07-12,"bottled water,shopping bags,waffles"
1146_2015-06-11,"bottled beer,whole milk"
1146_2015-09-12,"margarine,pork"
